timestamp,soil_moisture,temperature,humidity,light_intensity,plant_resistance,water_level,season,rainy_day,stress_type,action_taken,pump_status,learned_soil_threshold,learned_temp_threshold
2024-01-01 06:00:00,64.2,18.6,80.8,0,325.3,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 06:30:00,63.7,22.1,76.8,0,311.6,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 07:00:00,63.0,19.3,78.5,125.5,321.3,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 07:30:00,62.5,18.2,82.8,162.2,329.2,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 08:00:00,61.6,18.8,80.3,258.2,315.1,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 08:30:00,60.8,16.4,80.8,299.7,329.2,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 09:00:00,60.2,17.6,81.7,426.3,321.6,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 09:30:00,59.4,18.0,81.8,419.6,326.1,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 10:00:00,59.0,13.7,81.9,481.2,312.0,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 10:30:00,58.4,13.9,82.0,501.9,316.1,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 11:00:00,57.6,13.3,81.3,587.2,323.3,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 11:30:00,57.0,13.1,84.2,540.8,334.7,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 12:00:00,56.0,14.2,81.0,606.7,328.3,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 12:30:00,55.5,12.6,79.1,584.6,311.3,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 13:00:00,54.7,14.9,81.0,584.5,316.9,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 13:30:00,54.1,14.8,78.6,581.5,321.8,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 14:00:00,53.5,12.1,80.3,584.9,311.6,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 14:30:00,53.1,15.0,77.6,536.5,308.3,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 15:00:00,52.6,13.7,79.3,489.1,316.4,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 15:30:00,51.7,15.2,76.5,522.1,305.3,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 16:00:00,51.2,14.6,77.1,400.1,324.2,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 16:30:00,50.2,12.1,77.6,395.1,331.3,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 17:00:00,49.2,13.5,76.4,259.6,331.1,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 17:30:00,48.8,13.7,77.0,285.4,327.9,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 18:00:00,48.4,15.7,76.1,145.4,314.7,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 18:30:00,47.5,13.6,78.7,166.3,314.2,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 19:00:00,47.0,14.9,77.5,4.7,319.6,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 19:30:00,46.5,15.0,76.7,3.8,319.3,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 20:00:00,45.9,18.2,71.7,4.4,311.4,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 20:30:00,45.3,18.2,74.5,1.0,334.9,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 21:00:00,44.8,19.9,72.2,2.6,311.7,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 21:30:00,44.3,18.6,74.1,1.2,307.1,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 22:00:00,43.4,21.0,71.1,4.5,307.1,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 22:30:00,42.9,19.5,74.9,1.1,333.1,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 23:00:00,42.0,21.8,73.1,3.9,310.7,90.0,winter,no,none,none,no,42.0,36.0
2024-01-01 23:30:00,41.3,19.9,74.4,2.1,312.0,90.0,winter,no,water_stress,pump_on,yes,42.0,36.0
2024-01-02 00:00:00,43.9,23.0,76.5,0.5,330.9,89.5,winter,no,none,pump_on,yes,42.0,36.0
2024-01-02 00:30:00,46.6,21.3,73.1,2.2,312.5,89.0,winter,no,none,pump_on,yes,42.0,36.0
2024-01-02 01:00:00,49.4,24.5,73.4,4.3,335.0,88.5,winter,no,none,pump_on,yes,42.0,36.0
2024-01-02 01:30:00,52.7,24.2,76.7,4.6,319.6,88.1,winter,no,none,pump_on,yes,42.0,36.0
2024-01-02 02:00:00,55.2,21.9,76.4,0.3,313.0,87.3,winter,no,none,pump_on,yes,42.0,36.0
2024-01-02 02:30:00,58.7,24.1,75.0,2.1,321.7,86.5,winter,no,none,pump_on,yes,42.0,36.0
2024-01-02 03:00:00,62.1,23.7,74.5,1.5,321.3,85.8,winter,no,none,pump_on,yes,42.0,36.0
2024-01-02 03:30:00,64.9,23.8,73.8,2.9,309.7,85.1,winter,no,none,pump_on,yes,42.0,36.0
2024-01-02 04:00:00,67.8,24.2,74.5,0.9,312.1,84.4,winter,no,none,pump_off,no,42.0,36.0
2024-01-02 04:30:00,67.0,20.8,82.0,1.2,323.6,84.4,winter,no,none,none,no,42.0,36.0
2024-01-02 05:00:00,66.0,21.2,80.4,2.6,311.1,84.4,winter,no,none,none,no,42.0,36.0
2024-01-02 05:30:00,65.2,22.4,77.3,2.0,314.0,84.4,winter,no,none,none,no,42.0,36.0
2024-01-02 06:00:00,64.2,21.5,77.2,0,334.9,84.4,winter,no,none,none,no,42.0,36.0
2024-01-02 06:30:00,63.3,18.8,80.2,0,331.4,84.4,winter,no,none,none,no,42.0,36.0
2024-01-02 07:00:00,62.4,20.8,79.4,123.1,326.1,84.4,winter,no,none,none,no,42.0,36.0
2024-01-02 07:30:00,62.0,19.7,84.0,152.8,329.5,84.4,winter,no,none,none,no,42.0,36.0
2024-01-02 08:00:00,61.5,17.2,83.6,305.2,308.5,84.4,winter,no,none,none,no,42.0,36.0
2024-01-02 08:30:00,60.7,16.4,83.5,265.2,326.5,84.4,winter,no,none,none,no,42.0,36.0
2024-01-02 09:00:00,60.0,15.5,83.9,383.7,332.2,84.4,winter,no,none,none,no,42.0,36.0
2024-01-02 09:30:00,59.5,18.1,78.6,393.3,305.1,84.4,winter,no,none,none,no,42.0,36.0
2024-01-02 10:00:00,58.6,16.6,82.0,479.5,321.6,84.4,winter,no,none,none,no,42.0,36.0
2024-01-02 10:30:00,57.7,15.2,79.4,468.3,332.1,84.4,winter,no,none,none,no,42.0,36.0
2024-01-02 11:00:00,57.2,14.6,83.6,566.0,308.8,84.4,winter,no,none,none,no,42.0,36.0
